Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset,Notes
21N03178,CU,Boquer—n,Guant‡namo,Cuba,19.9281,-75.12105,1/31/04,Wintering,NT,1,Individual,
21N03181,CU,Boquer—n,Guant‡namo,Cuba,19.9841,-75.1154,2/1/04,Wintering,NT,1,Individual,
21N03258,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/23/09,Wintering,NT,1,Individual,
21N03263,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/21/09,Wintering,NT,1,Individual,
21N03267,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/21/09,Wintering,NT,1,Individual,
21N03268,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/21/09,Wintering,NT,1,Individual,
21N03270,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/21/09,Wintering,NT,1,Individual,
21N03271,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/23/09,Wintering,NT,1,Individual,
21N03272,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/22/09,Wintering,NT,1,Individual,
21N03273,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/19/09,Wintering,NT,1,Individual,
21N03276,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/19/09,Wintering,NT,1,Individual,
21N03277,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/19/09,Wintering,NT,1,Individual,
21N03278,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/19/09,Wintering,NT,1,Individual,
21N03280,BA,Central Eleuthera,Central Eleuthera,Bahamas,25.03039,-76.133162,1/24/09,Wintering,NT,1,Individual,
21N03307,PR,Maricao,Maricao,Puerto Rico,18.1833,-66.979198,2/27/02,Wintering,NT,0.8,Individual,
21N03308,PR,Cabo Rojo,Cabo Rojo,Puerto Rico,17.959252,-67.195511,2/26/02,Wintering,NT,0.8,Individual,
21N03309,PR,Cabo Rojo,Cabo Rojo,Puerto Rico,17.959252,-67.195511,2/26/02,Wintering,NT,1,Individual,
21N03310,PR,Cabo Rojo,Cabo Rojo,Puerto Rico,17.959252,-67.195511,2/26/02,Wintering,NT,1,Individual,
21N03316,PR,Cabo Rojo,Cabo Rojo,Puerto Rico,17.959252,-67.195511,2/13/04,Wintering,NT,0.7,Individual,
21N03317,PR,Cabo Rojo,Cabo Rojo,Puerto Rico,17.959252,-67.195511,2/14/04,Wintering,NT,1,Individual,
21N03319,PR,Cabo Rojo,Cabo Rojo,Puerto Rico,17.959252,-67.195511,2/22/04,Wintering,NT,1,Individual,
21N03332,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,2/26/09,Wintering,ST,0.8,Individual,
21N03334,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,2/26/09,Wintering,ST,1,Individual,
21N03335,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,2/26/09,Wintering,ST,1,Individual,
21N03338,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,3/1/09,Wintering,ST,1,Individual,
21N03339,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,1/3/09,Wintering,ST,1,Individual,
21N03340,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,1/3/09,Wintering,ST,0.9,Individual,
21N03341,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,3/1/09,Wintering,ST,1,Individual,
21N03342,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,3/1/09,Wintering,NT,1,Individual,
21N03343,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,3/1/09,Wintering,ST,1,Individual,
21N03345,SM,Rambaud,Rambaud,St. Maarten,18.087032,-63.056538,2/27/09,Wintering,ST,1,Individual,
21N03352,DR,Mano Juan,Isla Saona,Dominican Republic,18.161592,-68.707157,2/6/09,Wintering,NT,0.9,Individual,
21N03354,DR,Mano Juan,Isla Saona,Dominican Republic,18.161592,-68.707157,2/8/09,Wintering,NT,1,Individual,
21N03363,DR,Mano Juan,Isla Saona,Dominican Republic,18.161592,-68.707157,2/18/94,Wintering,NT,1,Individual,
21N03370,DR,Mano Juan,Isla Saona,Dominican Republic,18.161592,-68.707157,2/20/94,Wintering,NT,1,Individual,
21N03372,DR,Mano Juan,Isla Saona,Dominican Republic,18.161592,-68.707157,2/20/94,Wintering,NT,1,Individual,
21N03373,DR,Mano Juan,Isla Saona,Dominican Republic,18.161592,-68.707157,2/20/94,Wintering,NT,1,Individual,
21N03375,DR,Mano Juan,Isla Saona,Dominican Republic,18.161592,-68.707157,2/26/94,Wintering,NT,0.6,Individual,
21N03376,DR,Mano Juan,Isla Saona,Dominican Republic,18.161592,-68.707157,2/27/94,Wintering,NT,0.8,Individual,
18N00362,PR,Jobos,Isabela,Puerto Rico,18.49,-67.06,3/9/18,Wintering,ST,0.8,Individual,
18N01005,PR,Jobos,Isabela,Puerto Rico,18.49,-67.06,4/6/18,Wintering,NT,1,Individual,
18N01006,PR,Jobos,Isabela,Puerto Rico,18.49,-67.06,4/6/18,Wintering,NT,0.9,Individual,
19N03365,MX1,R’o Lagartos,Yucat‡n,Mexico,21.482341,-87.724472,12/3/19,Wintering,WB,1,Individual,
20N002508,MX1,R’o Lagartos,Yucat‡n,Mexico,21.556673,-88.232269,1/11/20,Wintering,WB,1,Individual,
20N002509,MX1,R’o Lagartos,Yucat‡n,Mexico,21.556673,-88.232269,1/11/20,Wintering,WB,1,Individual,
20N002510,MX1,R’o Lagartos,Yucat‡n,Mexico,21.512567,-87.676515,2/13/20,Wintering,NT,0.9,Individual,
20N002511,MX1,R’o Lagartos,Yucat‡n,Mexico,21.518728,-87.705059,2/14/20,Wintering,WB,1,Individual,
20N002512,MX3,Celestœn,Yucat‡n,Mexico,20.85119,-90.39362,2/27/20,Wintering,WB,1,Individual,
21N02292,MX3,Celestœn,Yucat‡n,Mexico,20.8551292,-90.3925121,1/17/21,Wintering,WB,1,Individual,
21N02293,MX4,Hermanos Flores Mag—n,Quintana Roo,Mexico,18.636672,-87.729325,2/21/21,Wintering,NT,0.9,Individual,
21N02294,MX4,Hermanos Flores Mag—n,Quintana Roo,Mexico,18.637896,-87.729367,2/22/21,Wintering,WB,1,Individual,
21N02295,MX4,Hermanos Flores Mag—n,Quintana Roo,Mexico,18.636672,-87.729325,2/24/21,Wintering,WB,1,Individual,
21N02754,COL,Acacias,Meta,Colombia,3.97376,-73.7999,1/15/21,Wintering,MP,1,Individual,
21N02755,COL,Acacias,Meta,Colombia,3.97376,-73.7999,1/15/21,Wintering,MP,1,Individual,
21N02756,COL,Acacias,Meta,Colombia,3.97376,-73.7999,1/15/21,Wintering,MP,1,Individual,
21N02757,COL,La Libertad,Meta,Colombia,4.06078,-73.46402,12/2/19,Wintering,MP,1,Individual,
21N02758,COL,La Libertad,Meta,Colombia,4.06078,-73.46402,12/4/19,Wintering,MP,1,Individual,
21N02759,COL,La Libertad,Meta,Colombia,4.06078,-73.46402,12/5/19,Wintering,MP,1,Individual,
21N02760,COL,La Libertad,Meta,Colombia,4.06078,-73.46402,12/5/19,Wintering,MP,1,Individual,
21N02761,COL,La Libertad,Meta,Colombia,4.06078,-73.46402,1/10/20,Wintering,MP,1,Individual,
21N02779,COL,Villavicencio,Meta,Colombia,4.071163,-73.580135,2/9/17,Wintering,MP,1,Individual,
21N02781,COL,Villavicencio,Meta,Colombia,4.071163,-73.580135,1/13/18,Wintering,ST,1,Individual,
21N02782,COL,Villavicencio,Meta,Colombia,4.071163,-73.580135,1/15/18,Wintering,MP,1,Individual,
21N02783,COL,Villavicencio,Meta,Colombia,4.071163,-73.580135,1/15/18,Wintering,MP,1,Individual,
22N04004,TR,Carli Bay,Couva,Trinidad,10.424057,-61.491825,12/4/21,Wintering,ST,1,Individual,
22N04005,TR,Verdant Vale,Tunapuna/Piarco,Trinidad,10.707305,-61.285958,12/6/21,Wintering,ST,1,Individual,
22N04006,TR,Verdant Vale,Tunapuna/Piarco,Trinidad,10.707305,-61.285958,12/6/21,Wintering,ST,1,Individual,
22N04007,TR,Verdant Vale,Tunapuna/Piarco,Trinidad,10.707305,-61.285958,12/6/21,Wintering,ST,1,Individual,
22N04010,TR,Preysal,Couva,Trinidad,10.38026,-61.386978,12/7/21,Wintering,ST,1,Individual,
22N04011,TR,Preysal,Couva,Trinidad,10.38026,-61.386978,12/10/21,Wintering,ST,1,Individual,
22N04012,TR,Preysal,Couva,Trinidad,10.38026,-61.386978,12/10/21,Wintering,ST,1,Individual,
22N04013,TR,Preysal,Couva,Trinidad,10.38026,-61.386978,12/10/21,Wintering,ST,1,Individual,
22N04014,TR,Preysal,Couva,Trinidad,10.38026,-61.386978,12/10/21,Wintering,MP,1,Individual,
22N04016,TR,Caroni,San Juan,Trinidad,10.607171,-61.434614,1/26/22,Wintering,ST,1,Individual,
22N04017,TR,Caroni,San Juan,Trinidad,10.607171,-61.434614,1/26/22,Wintering,ST,1,Individual,
22N04018,TR,Caroni,San Juan,Trinidad,10.607171,-61.434614,1/26/22,Wintering,ST,1,Individual,
