Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset,Notes
225090258,MI,Barbeau,Michigan,USA,46.24,-84.33,6/18/02,Breeding,NT,1,Individual,
225090259,MI,Barbeau,Michigan,USA,46.24,-84.33,6/18/02,Breeding,NT,1,LOO,
225090261,MI,Barbeau,Michigan,USA,46.24,-84.33,6/18/02,Breeding,NT,1,LOO,
225090262,MI,Barbeau,Michigan,USA,46.24,-84.33,6/18/02,Breeding,NT,1,LOO,
225090263,MI,Barbeau,Michigan,USA,46.24,-84.33,6/19/02,Breeding,NT,1,LOO,
18N01091,MN,Finland,Minnesota,USA,47.416,-91.25,6/26/18,Breeding,NT,1,Individual,
18N01092,MN,Finland,Minnesota,USA,47.416,-91.25,6/27/18,Breeding,ST,1,Individual,
18N01093,MN,Finland,Minnesota,USA,47.416,-91.25,6/20/18,Breeding,NT,1,Individual,
18N01094,MN,Finland,Minnesota,USA,47.416,-91.25,7/6/18,Breeding,NT,0.9,Individual,
18N01095,MN,Finland,Minnesota,USA,47.416,-91.25,6/19/18,Breeding,NT,1,LOO,
18N01096,MN,Finland,Minnesota,USA,47.416,-91.25,6/20/18,Breeding,NT,1,LOO,
18N01097,MN,Finland,Minnesota,USA,47.416,-91.25,6/27/18,Breeding,NT,1,LOO,
18N01098,MN,Finland,Minnesota,USA,47.416,-91.25,6/27/18,Breeding,NT,1,LOO,
18N01099,MN,Finland,Minnesota,USA,47.416,-91.25,6/27/18,Breeding,NT,0.9,LOO,
18N01100,MN,Finland,Minnesota,USA,47.416,-91.25,6/27/18,Breeding,NT,0.9,LOO,
08N10178,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/10/08,Breeding,ST,1,LOO,
08N10181,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/10/08,Breeding,ST,1,Individual,
08N10189,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/10/08,Breeding,ST,1,Individual,
08N10190,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/10/08,Breeding,ST,1,Individual,
08N10191,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/10/08,Breeding,ST,1,Individual,
08N10198,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/10/08,Breeding,ST,1,Individual,
08N10200,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/10/08,Breeding,ST,1,Individual,
08N10342,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/21/08,Breeding,ST,1,Individual,
08N10641,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/3/08,Breeding,ST,1,LOO,
08N10643,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/3/08,Breeding,ST,1,LOO,
08N10644,MO,Spring Creek,Missouri,USA,37.7425,-92.042778,6/3/08,Breeding,ST,1,LOO,
