Sample	W_E_Boreal	PNW	PacificCoast	BGP_ID	CollectionDate	Country_code	State	CityTown	Location	ClimGroup	Lat	Long	Stage	Reference 
07N52112	0	0	1	07N52112	1/19/08	Nicaragua	Granada	NA	Granada	Nicaragua_Granada	11.832222	-86.008333	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N52116	0	0	1	07N52116	12/15/07	Nicaragua	Granada	NA	Granada	Nicaragua_Granada	11.832222	-86.008333	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N52117	0	1	0	07N52117	12/15/07	Nicaragua	Granada	NA	Granada	Nicaragua_Granada	11.832222	-86.008333	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N53164	0	0.6	0.4	07N53164	2/7/08	Mexico	Tamaulipas	NA	Tamaulipas	Mexico_Tamaulipas	23.0494	-99.1519	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N53506	0	1	0	07N53506	12/12/07	Mexico	Tamaulipas	NA	Tamaulipas	Mexico_Tamaulipas	23.0639	-99.1969	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N53522	0	1	0	07N53522	1/8/08	Mexico	Tamaulipas	NA	Tamaulipas	Mexico_Tamaulipas	23.0494	-99.1519	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N53531	0	1	0	07N53531	1/11/08	Mexico	Tamaulipas	NA	Tamaulipas	Mexico_Tamaulipas	23.06388	-99.196944	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N53534	0	1	0	07N53534	1/12/08	Mexico	Tamaulipas	NA	Tamaulipas	Mexico_Tamaulipas	23.06388	-99.196944	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N65805	0	0.4	0.6	07N65805	2/10/09	Costa Rica	Costa Rica	NA	Costa Rica	Costa Rica	8.754194245	-82.92589174	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N65824	1	0	0	07N65824	2/11/09	Costa Rica	Costa Rica	NA	Costa Rica	Costa Rica	8.78423595	-82.97475182	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N66043	0	0	1	07N66043	2/11/09	Costa Rica	Costa Rica	NA	Costa Rica	Costa Rica	8.801173175	-82.97251855	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N66044	0	0	1	07N66044	2/12/09	Costa Rica	Costa Rica	NA	Costa Rica	Costa Rica	8.801173175	-82.97251855	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N66048	0	0	1	07N66048	2/12/09	Costa Rica	Costa Rica	NA	Costa Rica	Costa Rica	8.801173175	-82.97251855	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
07N66049	0	0	1	07N66049	2/12/09	Costa Rica	Costa Rica	NA	Costa Rica	Costa Rica	8.801173175	-82.97251855	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N0701	0	0	1	08N0701	2/16/08	Nicaragua	Managua	Ticuantepe	Ticuantepe	Nicaragua_Managua	11.978889	-86.262778	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N0718	0	0	1	08N0718	2/16/08	Nicaragua	Managua	Ticuantepe	Ticuantepe	Nicaragua_Managua	11.978889	-86.262778	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N0719	0	0	1	08N0719	2/17/08	Nicaragua	Managua	Ticuantepe	Ticuantepe	Nicaragua_Managua	11.978889	-86.262778	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N0720	0	0	1	08N0720	2/17/08	Nicaragua	Managua	Ticuantepe	Ticuantepe	Nicaragua_Managua	11.978889	-86.262778	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N0723	0	0	1	08N0723	2/16/08	Nicaragua	Managua	NA	Managua	Nicaragua_Managua	11.978889	-86.262778	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N33422	0	0	1	08N33422	1/10/09	El Salvador	Santa Ana	NA	Santa Ana	El Salvador_Santa Ana	14.805	-89.3603	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N33424	0	0	1	08N33424	1/11/09	El Salvador	Santa Ana	NA	Santa Ana	El Salvador_Santa Ana	14.2409	-89.2137	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N33426	0	0	1	08N33426	1/11/09	El Salvador	Santa Ana	NA	Santa Ana	El Salvador_Santa Ana	14.2409	-89.2137	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
08N33430	0	0	1	08N33430	1/12/09	El Salvador	Santa Ana	NA	Santa Ana	El Salvador_Santa Ana	14.2409	-89.2137	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
09N0717	0	0	1	09N0717	2/2/09	Costa Rica	Costa Rica	NA	Costa Rica	Costa Rica	8.801173175	-82.97251855	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
09N0718	0	0	1	09N0718	2/3/09	Costa Rica	Costa Rica	NA	Costa Rica	Costa Rica	8.801173175	-82.97251855	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N01560	1	0	0	13N01560	12/12/13	Colombia	Cundinamarca	La Fragua	La Fragua	Colombia_Cundinamarca	4.322412	-74.536308	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N01561	1	0	0	13N01561	12/13/13	Colombia	Cundinamarca	La Fragua	La Fragua	Colombia_Cundinamarca	4.322412	-74.536308	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N01563	1	0	0	13N01563	12/14/13	Colombia	Cundinamarca	Los Vientos	Los Vientos	Colombia_Cundinamarca	4.365643021	-74.51534702	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N01565	1	0	0	13N01565	12/19/13	Colombia	Cundinamarca	Los Vientos	Los Vientos	Colombia_Cundinamarca	4.365643021	-74.51534702	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N01567	1	0	0	13N01567	12/21/13	Colombia	Cundinamarca	La Vuelta	La Vuelta	Colombia_Cundinamarca	4.325313	-74.481858	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N1294	1	0	0	13N1294	1/9/13	Ecuador	Napo	Cosanga	Cosanga	Ecuador_Cosanga	0.5782	-77.8675	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N1297	1	0	0	13N1297	1/7/13	Ecuador	Napo	Cosanga	Cosanga	Ecuador_Cosanga	0.5782	-77.8675	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N1298	1	0	0	13N1298	1/7/13	Ecuador	Napo	Cosanga	Cosanga	Ecuador_Cosanga	0.5782	-77.8675	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N1299	1	0	0	13N1299	1/7/13	Ecuador	Napo	Cosanga	Cosanga	Ecuador_Cosanga	0.5782	-77.8675	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N1300	1	0	0	13N1300	1/7/13	Ecuador	Napo	Cosanga	Cosanga	Ecuador_Cosanga	0.5782	-77.8675	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N1301	1	0	0	13N1301	1/8/13	Ecuador	Napo	Cosanga	Cosanga	Ecuador_Cosanga	0.5782	-77.8675	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N1302	1	0	0	13N1302	1/8/13	Ecuador	Napo	Cosanga	Cosanga	Ecuador_Cosanga	0.5782	-77.8675	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
13N1303	1	0	0	13N1303	1/8/13	Ecuador	Napo	Cosanga	Cosanga	Ecuador_Cosanga	0.5782	-77.8675	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N02028	1	0	0	14N02028	1/8/14	Colombia	Cundinamarca	Los Vientos	Los Vientos	Colombia_Cundinamarca	4.365643021	-74.51534702	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N02030	1	0	0	14N02030	1/11/14	Colombia	Cundinamarca	La Fragua	La Fragua	Colombia_Cundinamarca	4.322412	-74.536308	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N02031	1	0	0	14N02031	1/14/14	Colombia	Cundinamarca	Los Vientos	Los Vientos	Colombia_Cundinamarca	4.365643021	-74.51534702	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N02035	1	0	0	14N02035	1/15/14	Colombia	Cundinamarca	La Fragua	La Fragua	Colombia_Cundinamarca	4.322412	-74.536308	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N02049	1	0	0	14N02049	12/15/14	Colombia	Cundinamarca	La Fragua	La Fragua	Colombia_Cundinamarca	4.322412	-74.536308	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N02052	1	0	0	14N02052	12/15/14	Colombia	Cundinamarca	La Vuelta	La Vuelta	Colombia_Cundinamarca	4.325313	-74.481858	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N02060	1	0	0	14N02060	12/17/14	Colombia	Cundinamarca	La Fragua	La Fragua	Colombia_Cundinamarca	4.322412	-74.536308	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N02064	1	0	0	14N02064	12/19/14	Colombia	Cundinamarca	La Fragua	La Fragua	Colombia_Cundinamarca	4.322412	-74.536308	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N0960	1	0	0	14N0960	1/7/14	Ecuador	Ecuador	NA	Ecuador	Ecuador_Hollin	-0.671166923	-77.59831062	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N0961	1	0	0	14N0961	1/7/14	Ecuador	Ecuador	NA	Ecuador	Ecuador_Hollin	-0.671239226	-77.59831066	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N0962	1	0	0	14N0962	1/7/14	Ecuador	Ecuador	NA	Ecuador	Ecuador_Hollin	-0.671239226	-77.59831066	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N0963	1	0	0	14N0963	1/8/14	Ecuador	Ecuador	NA	Ecuador	Ecuador_Hollin	-0.671871661	-77.59872398	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
14N0964	1	0	0	14N0964	1/8/14	Ecuador	Ecuador	NA	Ecuador	Ecuador_Hollin	-0.671871661	-77.59872398	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
15N04842	1	0	0	15N04842	1/7/15	Colombia	Cundinamarca	La Vuelta	La Vuelta	Colombia_Cundinamarca	4.325313	-74.481858	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
15N04849	1	0	0	15N04849	1/20/15	Colombia	Cundinamarca	La Fragua	La Fragua	Colombia_Cundinamarca	4.322412	-74.536308	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
18N04875	1	0	0	18N04875	1/9/18	Argentina	Argentina	Tucuman	Tucuman	Argentina_Tucuman	-26.867872	-65.344492	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
19N00158	1	0	0	19N00158	1/21/19	Argentina	Argentina	Tucuman	Tucuman	Argentina_Tucuman	-26.867872	-65.344492	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
19N00159	1	0	0	19N00159	1/21/19	Argentina	Argentina	Tucuman	Tucuman	Argentina_Tucuman	-26.867872	-65.344492	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
19N00160	1	0	0	19N00160	2/9/19	Argentina	Argentina	Tucuman	Tucuman	Argentina_Tucuman	-26.867872	-65.344492	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
19N00161	1	0	0	19N00161	2/14/19	Argentina	Argentina	Tucuman	Tucuman	Argentina_Tucuman	-26.867872	-65.344492	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
19N00162	1	0	0	19N00162	2/14/19	Argentina	Argentina	Tucuman	Tucuman	Argentina_Tucuman	-26.867872	-65.344492	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
21N00804	0	0	1	21N00804	2/19/08	Mexico	Oaxaca	Pluma Hidalgo	Pluma Hidalgo	Mexico_Pluma Hidalgo	15.92515	-96.42089167	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
21N00805	0	0	1	21N00805	12/13/07	Mexico	Oaxaca	Pluma Hidalgo	Pluma Hidalgo	Mexico_Pluma Hidalgo	15.94860833	-96.425775	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
21N00806	0	0	1	21N00806	2/17/08	Mexico	Oaxaca	Pluma Hidalgo	Pluma Hidalgo	Mexico_Pluma Hidalgo	15.92515	-96.42089167	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
21N00807	0	0	1	21N00807	12/14/07	Mexico	Oaxaca	Pluma Hidalgo	Pluma Hidalgo	Mexico_Pluma Hidalgo	15.94860833	-96.425775	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
21N00808	0	0	1	21N00808	2/17/08	Mexico	Oaxaca	Pluma Hidalgo	Pluma Hidalgo	Mexico_Pluma Hidalgo	15.92515	-96.42089167	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
21N00809	0	0	1	21N00809	2/16/08	Mexico	Oaxaca	Pluma Hidalgo	Pluma Hidalgo	Mexico_Pluma Hidalgo	15.89416944	-96.39656111	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
96N3047	0	0.2	0.8	96N3047	2/14/96	Mexico	Chiapas	NA	Chiapas	Mexico_Chiapas	15.656999	-92.808725	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
97N2001	0	0	1	97N2001	1/7/97	Hondurus	TG	TEGUCIGALPA	Tegucigalpa	Hondurus_Tegucigalpa	14.4133	-87.0997	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
97N2002	0	0.5	0.5	97N2002	1/7/97	Hondurus	TG	TEGUCIGALPA	Tegucigalpa	Hondurus_Tegucigalpa	14.4133	-87.0997	Wintering	Turbek et al. (In revision). Migratory connectivity influences the strength of local adaptation in migratory birds
