Sample,Site,Location,State,Country,Lat,Long,Date,Stage,Assignment,Consistency,Dataset
2240-94399,EC1,coca,Orellana,Ecuador,-0.455541,-76.9928,1/11/04,Wintering,EST,1,Individual
2330-99748,EC1,coca,Orellana,Ecuador,-0.455541,-76.9928,1/22/05,Wintering,EST,1,Individual
2330-99750,EC1,coca,Orellana,Ecuador,-0.455541,-76.9928,1/23/05,Wintering,EST,1,Individual
2330-99751,EC1,coca,Orellana,Ecuador,-0.455541,-76.9928,1/23/05,Wintering,EST,1,Individual
2240-94344,EC2,jatun_sacha,Napo,Ecuador,-1.07,-77.61,NA,Wintering,EST,1,Individual
2240-94345,EC2,jatun_sacha,Napo,Ecuador,-1.07,-77.61,NA,Wintering,EST,1,Individual
2240-94346,EC2,jatun_sacha,Napo,Ecuador,-1.07,-77.61,1/26/04,Wintering,EST,1,Individual
2240-94365,EC2,jatun_sacha,Napo,Ecuador,-1.07,-77.61,1/27/04,Wintering,EST,1,Individual
2240-94366,EC2,jatun_sacha,Napo,Ecuador,-1.07,-77.61,1/27/04,Wintering,EST,1,Individual
2330-99702,EC3,sani_island,Sucumbios,Ecuador,-0.475861,-76.3132,1/13/04,Wintering,EST,1,Individual
2330-99763,EC3,sani_island,Sucumbios,Ecuador,-0.475861,-76.3132,1/26/05,Wintering,EST,1,Individual
2330-99765,EC3,sani_island,Sucumbios,Ecuador,-0.475861,-76.3132,1/28/05,Wintering,EST,1,Individual
2330-99715,EC3,sani_island,Sucumbios,Ecuador,-0.423313,-76.2847,1/13/04,Wintering,EST,1,Individual
2240-94367,EC4,tena,Napo,Ecuador,-0.9664,-77.8119,1/28/04,Wintering,EST,1,Individual
2330-99717,EC4,tena,Napo,Ecuador,-0.9664,-77.8119,1/27/04,Wintering,EST,1,Individual
2330-99727,EC4,tena,Napo,Ecuador,-0.995672,-77.8132,1/19/05,Wintering,EST,1,Individual
2330-99728,EC4,tena,Napo,Ecuador,-0.995672,-77.8132,1/20/05,Wintering,PNW_INW,1,Individual
2150-26520,EL1,jocotal,San Miguel,El Salvador,13.3192,-88.2432,1/31/00,Wintering,PNW_INW,1,Individual
2150-26545,EL1,jocotal,San Miguel,El Salvador,13.3262,-88.2697,1/30/00,Wintering,PNW_INW,1,Individual
2150-26549,EL1,jocotal,San Miguel,El Salvador,13.3262,-88.2697,1/30/00,Wintering,PNW_INW,1,Individual
2150-26553,EL1,jocotal,San Miguel,El Salvador,13.3192,-88.2432,1/31/00,Wintering,PNW_INW,1,Individual
2150-26522,EL2,nancuchiname,San Vicente,El Salvador,13.3413,-88.719,2/1/00,Wintering,PNW_INW,1,Individual
2150-26535,EL2,nancuchiname,San Vicente,El Salvador,13.3413,-88.719,1/2/00,Wintering,PNW_INW,1,Individual
2150-26536,EL2,nancuchiname,San Vicente,El Salvador,13.3413,-88.719,2/1/00,Wintering,PNW_INW,1,Individual
2150-26548,EL2,nancuchiname,San Vicente,El Salvador,13.3413,-88.719,1/2/00,Wintering,PNW_INW,1,Individual
2150-26562,EL2,nancuchiname,San Vicente,El Salvador,13.3413,-88.719,1/2/00,Wintering,PNW_INW,1,Individual
2330-99783,GT1,la_nueva,Izabal,Guatemala,15.246805,-89.1036,1/27/07,Wintering,PNW_INW,1,Individual
2330-99787,GT1,la_cabana,Izabal,Guatemala,15.518396,-89.2995,12/16/05,Wintering,PNW_INW,1,Individual
2330-99788,GT1,la_cabana,Izabal,Guatemala,15.518396,-89.2995,12/16/05,Wintering,PNW_INW,1,Individual
2330-99789,GT1,la_cabana,Izabal,Guatemala,15.518396,-89.2995,12/16/05,Wintering,PNW_INW,1,Individual
2410-67701,GT1,la_nueva,Izabal,Guatemala,15.246805,-89.1036,1/26/07,Wintering,PNW_INW,1,Individual
2410-67707,GT1,la_nueva,Izabal,Guatemala,15.246805,-89.1036,12/11/05,Wintering,PNW_INW,1,Individual
2410-67743,GT1,la_cabana,Izabal,Guatemala,15.518396,-89.2995,1/31/07,Wintering,PNW_INW,1,Individual
2150-26560,GT2,santiago,San Vicente,El Salvador,13.692,-89.943,2/8/00,Wintering,PNW_INW,1,Individual
2150-26570,GT2,santiago,San Vicente,El Salvador,13.692,-89.943,2/9/00,Wintering,PNW_INW,1,Individual
2330-99790,GT2,rio_achiguate,Escuintla,Guatemala,13.930099,-90.9126,12/20/05,Wintering,PNW_INW,1,Individual
2410-67749,GT2,rio_achiguate,Escuintla,Guatemala,13.930099,-90.9126,2/6/07,Wintering,PNW_INW,1,Individual
2240-94382,GT3,rio_samala,Retalhuleu,Guatemala,14.57433,-91.633,12/21/05,Wintering,PNW_INW,1,Individual
2410-67713,GT3,rio_samala,Retalhuleu,Guatemala,14.57433,-91.633,12/20/05,Wintering,PNW_INW,1,Individual
2410-67714,GT3,rio_samala,Retalhuleu,Guatemala,14.57433,-91.633,12/20/05,Wintering,PNW_INW,1,Individual
2410-67717,GT3,rio_samala,Retalhuleu,Guatemala,14.57433,-91.633,12/21/05,Wintering,PNW_INW,1,Individual
2230-99721,MX1,barra_vieja,Guerrero,Mexico,16.72081,-99.6002,3/7/04,Wintering,PNW_INW,1,Individual
2230-99722,MX1,barra_vieja,Guerrero,Mexico,16.72081,-99.6002,3/7/04,Wintering,PNW_INW,1,Individual
2240-94377,MX1,barra_vieja,Guerrero,Mexico,16.72081,-99.6002,3/6/04,Wintering,PNW_INW,1,Individual
2240-94379,MX1,barra_vieja,Guerrero,Mexico,16.72081,-99.6002,3/7/04,Wintering,PNW_INW,1,Individual
2240-94380,MX1,barra_vieja,Guerrero,Mexico,16.72081,-99.6002,3/7/04,Wintering,PNW_INW,1,Individual
2150-26597,MX2,cuanjinicuilapa,Guerrero,Mexico,16.5,-98.4077,2/8/03,Wintering,PNW_INW,1,Individual
2150-26598,MX2,cuanjinicuilapa,Guerrero,Mexico,16.47036,-98.4126,2/8/03,Wintering,PNW_INW,1,Individual
2150-26599,MX2,cuanjinicuilapa,Guerrero,Mexico,16.47036,-98.4126,2/8/03,Wintering,PNW_INW,1,Individual
2240-94348,MX2,cuanjinicuilapa,Guerrero,Mexico,16.5,-98.4077,2/21/04,Wintering,PNW_INW,1,Individual
2240-94353,MX2,marquelia,Guerrero,Mexico,16.5835,-98.8255,2/26/03,Wintering,PNW_INW,1,Individual
2240-94375,MX2,marquelia,Guerrero,Mexico,16.58252,-98.8259,3/4/04,Wintering,PNW_INW,1,Individual
2240-94376,MX2,marquelia,Guerrero,Mexico,16.58252,-98.8259,3/4/04,Wintering,PNW_INW,1,Individual
2330-99718,MX2,cuanjinicuilapa,Guerrero,Mexico,16.47036,-98.4126,2/20/04,Wintering,PNW_INW,1,Individual
2240-94317,MX3,laguna_pampa,Chiapas,Mexico,14.7226,-92.4199,2/14/03,Wintering,PNW_INW,1,Individual
2240-94339,MX3,laguna_pampa,Chiapas,Mexico,14.7226,-92.4199,2/13/03,Wintering,PNW_INW,1,Individual
2240-94340,MX3,laguna_pampa,Chiapas,Mexico,14.7226,-92.4199,2/13/03,Wintering,PNW_INW,1,Individual
2240-94341,MX3,laguna_pampa,Chiapas,Mexico,14.7226,-92.4199,2/14/03,Wintering,PNW_INW,1,Individual
2240-94374,MX3,laguna_pampa,Chiapas,Mexico,14.7226,-92.4199,2/28/04,Wintering,PNW_INW,1,Individual
2240-94302,MX4,la_barra,Chiapas,Mexico,15.8895,-93.7104,2/12/03,Wintering,PNW_INW,1,Individual
2240-94315,MX4,la_barra,Chiapas,Mexico,15.8895,-93.7104,2/12/03,Wintering,PNW_INW,1,Individual
2240-94349,MX4,la_barra,Chiapas,Mexico,15.8895,-93.7104,2/23/03,Wintering,PNW_INW,1,Individual
2240-94350,MX4,la_barra,Chiapas,Mexico,15.8895,-93.7104,2/23/03,Wintering,PNW_INW,1,Individual
2240-94378,MX4,la_barra,Chiapas,Mexico,15.8895,-93.7104,3/7/04,Wintering,PNW_INW,1,Individual
2330-99745,MX5,novillero,Nayarit,Mexico,22.39511,-105.55,12/24/04,Wintering,PNW_INW,1,Individual
2330-99759,MX5,novillero,Nayarit,Mexico,22.39511,-105.55,12/23/04,Wintering,PNW_INW,1,Individual
2410-67720,MX5,novillero,Nayarit,Mexico,22.39511,-105.55,2/24/06,Wintering,PNW_INW,1,Individual
2410-67721,MX5,novillero,Nayarit,Mexico,22.39511,-105.55,2/25/06,Wintering,PNW_INW,1,Individual
2240-94352,MX6,rio_copalita,Oaxaca,Mexico,15.7925,-96.0495,2/25/03,Wintering,PNW_INW,1,Individual
2240-94371,MX6,rio_copalita,Oaxaca,Mexico,15.79279,-96.0488,2/22/04,Wintering,PNW_INW,1,Individual
2240-94372,MX6,rio_copalita,Oaxaca,Mexico,15.79279,-96.0488,2/23/04,Wintering,PNW_INW,1,Individual
2330-99711,MX6,rio_copalita,Oaxaca,Mexico,15.7925,-96.0495,2/23/04,Wintering,PNW_INW,1,Individual
2150-26564,MX7,manzanillo,Guerrero,Mexico,19.16164,-104.559,2/7/02,Wintering,PNW_INW,1,Individual
2240-94324,MX7,manzanillo,Guerrero,Mexico,19.1562,-104.558,2/6/02,Wintering,PNW_INW,1,Individual
2240-94325,MX7,manzanillo,Guerrero,Mexico,19.1562,-104.558,2/6/02,Wintering,PNW_INW,1,Individual
2240-94308,MX8,ixtapa,Guerrero,Mexico,17.69,-101.64,2/18/02,Wintering,PNW_INW,1,Individual
2240-94318,MX8,ixtapa,Guerrero,Mexico,17.69,-101.64,2/18/02,Wintering,PNW_INW,1,Individual
2410-67724,NI1,cabalia,Chinandega,Nicaragua,12.887293,-87.49636,1/15/17,Wintering,SW,1,Individual
2410-67727,NI1,san_miguel,Chinandega,Nicaragua,12.798346,-87.1575,1/17/17,Wintering,SW,1,Individual
2410-67750,NI1,san_miguel,Chinandega,Nicaragua,12.798346,-87.1575,1/17/17,Wintering,SW,1,Individual
2410-67753,NI1,cabalia,Chinandega,Nicaragua,12.887084,-87.497,1/18/17,Wintering,SW,1,Individual
2410-67755,NI1,cabalia,Chinandega,Nicaragua,12.887084,-87.497,1/18/17,Wintering,SW,1,Individual
2410-67732,NI2,laguna_tisma,Chontales,Nicaragua,12.085834,-85.43054,1/25/17,Wintering,SW,1,Individual
2150-26512,PAN1,el_real,Darién,Panama,8.1057,-77.7228,1/22/00,Wintering,PNW_INW,1,Individual
2150-26513,PAN1,el_real,Darién,Panama,8.1057,-77.7228,1/22/00,Wintering,PNW_INW,1,Individual
2150-26541,PAN1,el_real,Darién,Panama,8.1057,-77.7228,1/22/00,Wintering,PNW_INW,1,Individual
2150-26542,PAN1,el_real,Darién,Panama,8.1057,-77.7228,1/24/00,Wintering,PNW_INW,1,Individual
2150-26501,PAN2,laguna_naranja,Los Santos,Panama,7.4475,-80.372,1/9/00,Wintering,PNW_INW,1,Individual
2150-26502,PAN2,laguna_naranja,Los Santos,Panama,7.4475,-80.372,1/10/00,Wintering,EST,1,Individual
2150-26503,PAN2,laguna_naranja,Los Santos,Panama,7.4475,-80.372,1/10/00,Wintering,PNW_INW,1,Individual
2150-26505,PAN2,laguna_naranja,Los Santos,Panama,7.4475,-80.372,1/10/00,Wintering,EST,1,Individual
2150-26523,PAN2,laguna_naranja,Los Santos,Panama,7.4475,-80.372,1/9/00,Wintering,PNW_INW,1,Individual
2150-26506,PAN3,pese,Herrera,Panama,7.8867,-80.5405,1/12/00,Wintering,PNW_INW,1,Individual
2150-26529,PAN3,pese,Herrera,Panama,7.8867,-80.5405,1/12/00,Wintering,PNW_INW,1,Individual
2150-26530,PAN3,pese,Herrera,Panama,7.8867,-80.5405,1/12/00,Wintering,PNW_INW,1,Individual
2150-26531,PAN3,pese,Herrera,Panama,7.8867,-80.5405,1/12/00,Wintering,PNW_INW,1,Individual
2150-26533,PAN3,pese,Herrera,Panama,7.8867,-80.5405,1/17/00,Wintering,EST,1,Individual
2150-26511,PAN4,tocuman_marsh,Panamá,Panama,9.0705,-79.3755,1/19/00,Wintering,PNW_INW,1,Individual
2150-26517,PAN4,tocuman_marsh,Panamá,Panama,9.0705,-79.3755,1/19/00,Wintering,PNW_INW,1,Individual
